Jornada,Módulo,Subgrupo (Opcional),Título,Descrição
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Nova Identidade,"E agora, quem sou eu depois que meu bebê chegou?",Acolha as mudanças na sua identidade e encontre um novo equilíbrio.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Nova Identidade,Conciliando todas as versões de você depois da chegada do bebê,Reorganize tempo e prioridades sem deixar de lado o que importa para você.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Nova Identidade,Como lidar com as expectativas sem se perder no caminho,Alivie a cobrança e encontre um jeito de viver a parentalidade no seu ritmo.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Nova Identidade,Autocuidado possível: pequenos gestos que cabem na vida real,Descubra cuidados simples que preservam sua energia e seu bem-estar.
Pais Recém-Nascidos,Cuidando de Quem Cuida,A Dinâmica do Casal,O impacto da chegada do bebê na relação do casal,Entenda as mudanças na relação e encontre caminhos para manter a conexão.
Pais Recém-Nascidos,Cuidando de Quem Cuida,A Dinâmica do Casal,Comunicação e apoio mútuo: como cuidar da relação no dia a dia,Converse sobre cansaço e necessidades para construir uma parceria mais justa.
Pais Recém-Nascidos,Cuidando de Quem Cuida,A Dinâmica do Casal,Dividindo responsabilidades sem transformar a casa em competição,"Organize responsabilidades com mais clareza, colaboração e menos cobrança."
Pais Recém-Nascidos,Cuidando de Quem Cuida,A Dinâmica do Casal,Reencontrando a intimidade e o tempo para vocês dois,"Recupere carinho e conexão a dois, mesmo com as demandas da nova rotina."
Pais Recém-Nascidos,Cuidando de Quem Cuida,As Emoções e os Sentimentos,A montanha-russa de emoções depois da chegada do bebê,Entenda as oscilações emocionais e atravesse essa fase com mais gentileza.
Pais Recém-Nascidos,Cuidando de Quem Cuida,As Emoções e os Sentimentos,Cansaço extremo: quando o corpo e a mente pedem atenção,Reconheça sinais de exaustão e encontre formas de cuidar de quem cuida.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Rede de Apoio,Construindo uma rede de apoio que realmente funciona,Descubra como transformar pessoas próximas em apoio possível no dia a dia.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Rede de Apoio,Como pedir ajuda sem culpa e sem precisar dar conta de tudo,"Aprenda a pedir apoio com clareza, sem transformar ajuda em dívida."
